market,menuItemName,menuItemDescription,price,restaurantName,restaurantDescription,restaurantLatitude,restaurantLongitude
"Houston, TX",1% Low Fat Milk (110 Cals),"As delicious as our sandwiches are, they are even better when paired with the perfect side and drink or even adding a little something extra. With such a variety to choose from, there's truly something for every taste.",2.19,Subway,"Sandwiches, Salads, Dessert, Snacks",29.7466861,-95.359915
"Houston, TX",10-Piece Boneless Wing Meal,Served with fries and a drink.,14.19,American Deli,"Deli, Takeout, Gyro, Chicken, Burgers, Fast Food, Chicken Wings, Cheesesteaks, Family Meals, Pickup",29.7000121,-95.3600172
"Houston, TX",8-Piece Boneless Wing Meal,Served with fries and a drink.,12.99,American Deli,"Deli, Takeout, Gyro, Chicken, Burgers, Fast Food, Chicken Wings, Cheesesteaks, Family Meals, Pickup",29.7000121,-95.3600172
"Houston, TX",LUNCH DUET,Select two of these Benihana favorites:Beef* Julienne | Chicken | Calamari | Yakisoba | Scallops | Hibachi Shrimp |,24.1,Benihana,"Chicken, Steak, Hibachi, Asian Food, Family Meals, Asian, Sushi, Japanese",29.7560868,-95.3697436
"Houston, TX",FILET MIGNON,Tenderloin* and mushrooms lightly seasoned and grilled to perfection.,24.4,Benihana,"Chicken, Steak, Hibachi, Asian Food, Family Meals, Asian, Sushi, Japanese",29.7560868,-95.3697436
"Houston, TX",HIBACHI STEAK,New York strip steak* and mushrooms teppanyaki grilled to your specification.,22.0,Benihana,"Chicken, Steak, Hibachi, Asian Food, Family Meals, Asian, Sushi, Japanese",29.7560868,-95.3697436
"Houston, TX",SPICY HIBACHI CHICKEN,Chicken breast grilled with green onions and mushrooms in a special spicy homemade sauce.,19.0,Benihana,"Chicken, Steak, Hibachi, Asian Food, Family Meals, Asian, Sushi, Japanese",29.7560868,-95.3697436
"Houston, TX",HIBACHI CHICKEN,Chicken breast and mushrooms with sesame seeds. ,18.4,Benihana,"Chicken, Steak, Hibachi, Asian Food, Family Meals, Asian, Sushi, Japanese",29.7560868,-95.3697436
"Houston, TX",HIBACHI SHRIMP,Shrimp grilled with lemon. ,21.2,Benihana,"Chicken, Steak, Hibachi, Asian Food, Family Meals, Asian, Sushi, Japanese",29.7560868,-95.3697436
"Houston, TX",BEEF JULIENNE,Teriyaki beef* with green onions and mushrooms grilled in a homemade teriyaki sauce.,21.3,Benihana,"Chicken, Steak, Hibachi, Asian Food, Family Meals, Asian, Sushi, Japanese",29.7560868,-95.3697436
"Houston, TX",HIBACHI SCALLOPS,Tender sea scallops grilled hibachi style with lemon.,21.6,Benihana,"Chicken, Steak, Hibachi, Asian Food, Family Meals, Asian, Sushi, Japanese",29.7560868,-95.3697436
"Houston, TX",CHICKEN YAKISOBA,Japanese sautéed noodles with vegetables in a special sauce with Chicken,18.4,Benihana,"Chicken, Steak, Hibachi, Asian Food, Family Meals, Asian, Sushi, Japanese",29.7560868,-95.3697436
"Houston, TX",STEAK YAKISOBA,Japanese sautéed noodles with vegetables in a special sauce with Steak.,18.8,Benihana,"Chicken, Steak, Hibachi, Asian Food, Family Meals, Asian, Sushi, Japanese",29.7560868,-95.3697436
"Houston, TX",HIBACHI SHRIMP YAKISOBA,Japanese sautéed noodles with vegetables in a special sauce with Shrimp,18.8,Benihana,"Chicken, Steak, Hibachi, Asian Food, Family Meals, Asian, Sushi, Japanese",29.7560868,-95.3697436
"Houston, TX",SUSHI COMBINATION ,Comes with: - California Roll- A piece of Shrimp nigiri- A piece of Tuna nigiri- A piece of Salmon nigiri- A piece of Yellowtail- Benihana salad- Miso soup,20.6,Benihana,"Chicken, Steak, Hibachi, Asian Food, Family Meals, Asian, Sushi, Japanese",29.7560868,-95.3697436
"Houston, TX",#57. Cơm Bò Nướng Chả Giò,Steamed rice with charbroiled sliced beef and fried egg roll.,12.0,Pho Saigon,Vietnamese,29.7451531,-95.3776337
"Houston, TX",#56. Cơm Bò Nướng Sả,Steamed rice with charbroiled lemon grass sliced beef.,11.75,Pho Saigon,Vietnamese,29.7451531,-95.3776337
"Houston, TX",#59. Bún Bò Nướng Chả Giò,Vermicelli with charbroiled lemon grass sliced beef and fried egg roll.,12.0,Pho Saigon,Vietnamese,29.7451531,-95.3776337
"Houston, TX",#58. Bún Bò Nướng Sả,Vermicelli with charbroiled lemon grass sliced beef.,11.75,Pho Saigon,Vietnamese,29.7451531,-95.3776337
"Houston, TX",Karaage over Rice,,12.87,Sticky's Chicken,"Chicken, Chicken Wings",29.7701293,-95.3817043
"Houston, TX",Karaage Sliders & Fries,,11.55,Sticky's Chicken,"Chicken, Chicken Wings",29.7701293,-95.3817043
"Houston, TX",Karaage Chicken,"Fried chicken bites, spicy yuzu peel marmalade.",9.0,Izakaya,Ramen Restaurant,29.7518483,-95.3769374
"Houston, TX",Cinnamon Toast Crunch Milkshake,,7.5,BunSlut,BunSlut,29.7426555,-95.4034414
"Houston, TX",Slutty Fries,"Seasoned Fries, Chopped Patty with Cheese, Slut Sauce, and Grilled Onions",10.0,BunSlut,BunSlut,29.7426555,-95.4034414
"Houston, TX",Virgin Fries,Seasoned Fries,4.0,BunSlut,BunSlut,29.7426555,-95.4034414
"Houston, TX",Red Juice,"Red beet, orange, apple, celery, carrot, and lemon.",7.0,Pho Binh,"Vietnamese, Noodles, Pho, Smoothies, Asian",29.7819194,-95.3902331
"Houston, TX",Green Juice,"Apple, cucumber, celery, kale, and lemon.",7.0,Pho Binh,"Vietnamese, Noodles, Pho, Smoothies, Asian",29.7819194,-95.3902331
"Houston, TX",Classic Juice,"Orange, apple, carrot, and celery.",7.0,Pho Binh,"Vietnamese, Noodles, Pho, Smoothies, Asian",29.7819194,-95.3902331
"Houston, TX",Green Tea Smoothie,Add-ons for an additional charge.,6.5,Pho Binh,"Vietnamese, Noodles, Pho, Smoothies, Asian",29.7819194,-95.3902331
"Houston, TX",Dripped Nachos,"Nacho chips topped with cheese sauce, birria de res meat, jalapenos, chopped onions, and cilantro",9.5,Dripped Birria,"Halal, Birria, Quesadillas, Fries, Tacos, Nachos, Mexican, Fast Food",29.7426555,-95.4034414
"Houston, TX",Elote,"Corn, cheese, mayo, sour cream, lime, topped with crumbled cheetos",4.5,Dripped Birria,"Halal, Birria, Quesadillas, Fries, Tacos, Nachos, Mexican, Fast Food",29.7426555,-95.4034414
"Houston, TX",Sprite,Canned Drink,2.5,Dripped Birria,"Halal, Birria, Quesadillas, Fries, Tacos, Nachos, Mexican, Fast Food",29.7426555,-95.4034414
"Houston, TX",B10-BMBalls. Beef Meatballs Pho,Beef meatballs only.,10.5,B&T Cafe,Baguette & Tea,29.7382287,-95.408481
"Houston, TX",Miss Piggie,"Freshly Ground Bacon and Beef Patty (Will Always be Pink), House Candied Bacon, Hash Brown, Cheddar, Lettuce, and Tomatoes.",12.5,Stanton's City Bites,"Burgers, Dinner, Bar and Grill",29.7709432,-95.3720701
"Houston, TX",Chicken Pho,Boneless chicken instead of beef,15.5,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",Vegetable Pho,Pho with vegetables & tofu,15.5,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",Phở (Khong Thit),No meat.  Just broth & noodles.,11.95,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",94. Mì Quảng,"Special yellow rice noodles with pork, shrimp, fish cake, shredded cabbage and banana blossom to be tossed with a lightly spicy broth. Garnished with peanuts, fried onions, and Vietnamese crackers.",15.5,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",93. Mì Hoành Thánh,Wonton Soup.  Egg noodle soup with wontons and BBQ pork.,15.5,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",90. Hủ Tiếu Thập Cẩm,"Combination Soup.  Your choice of noodles in home-made chicken broth with vegetables, chicken, pork, and seafood.",15.5,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",91. Mì Ga,Chicken Soup.  Choice of noodles in chicken broth with dark or white chicken.,15.5,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",92. Mì Xá Xíu,BBQ Pork Soup.  Choice of noodles in home-made soup with BBQ pork.,15.5,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",11. Bún Bò Xào,Stir-fried lemongrass beef on vermicelli.  Chicken may be substituted on request.,17.95,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",16. Bún Bò Hue,"Spicy noodle soup with sliced beef in a broth with chilies and lemongrass optional \Vietnamese style\"" includes blood cake (huyết) and pork hock.""",15.5,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",12. Bún Thịt Nướng,Chargrilled pork on vermicelli.,17.95,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",14. Bún Tôm Nướng,Chargrilled shrimp on vermicelli.,17.95,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",13. Bún Gà Nướng,Chargrilled chicken (dark meat) on vermicelli.,17.95,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",15. Bún Măng Vịt,Vermicelli noodle soup with duck and fermented bamboo shoots.,15.5,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",57. Com Bo Luc Lac,"Tender chunks of stir-fried beef tenderloin, peppers and onion, served with house rice.",22.75,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",57B. Cơm Gà Lúc Lắc,"Stir-fried white meat chicken, peppers and onion, served with house rice.",22.75,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",56. Com Bò Xào,Stir fried beef and lemongrass served with rice.,20.5,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",50. Cơm Phượng Hoàng,"Phoenix chicken. Half of a crispy Cornish hen with house rice, served with a fried egg and special dipping sauce.",19.95,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",53. Com Tâm Thịt Nướng,Chargrilled boneless pork served with crushed rice.,19.25,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",55. Cơm Tấm Thịt Nướng Bì Ch,"Chargrilled boneless pork, shredded pork, egg cake, and crushed rice.",19.95,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",58. Cơm Sườn Bò Dại Hàn,"Chargrilled beef short ribs, served with shrimp, fried egg and crushed rice.",19.8,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",51. Cơm Gà Nướng,Chargrilled dark meat chicken and house rice.,19.25,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",54B. Cơm Tám Sườn Cha Trung,"Chargrilled bone-in pork chop, fried egg, and egg cake served with crushed rice.",19.95,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",54. Cơm Tám Sườn Bì Cha,"Chargrilled bone-in pork chop, shredded pork, and egg cake with crushed rice.",19.95,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",52. Com Sườn Nướng,Chargrilled bone-in pork chop served with crushed rice.,19.8,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",60. Cơm Chiên Xá Xíu,BBQ pork fried rice.,18.95,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",64. Cơm Chiên Thập Cẩm,"Combination: pork, beef, chicken, shrimp, and sausage.",18.95,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",63. Cơm Chiên Tôm,Shrimp fried rice.,18.95,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",61. Cơm Chiên Ga,Chicken fried rice.,18.95,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",65. Cơm Chiên đỏ Biển,"Seafood fried rice: shrimp, squid, fish ball, and crab stick.",18.95,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",62. Cơm Chiên Bo,Beef fried rice.,18.95,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",80. Hủ Tiếu Xào Chay,"Wok-fried crispy flat rice noodles topped with stir-fried tofu and vegetables.   Soft noodles available, by request.",21.5,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",82. Dau Hủ Xào Lăn,"Coconut curry with stir-fried tofu, onions and mushrooms.  Topped with peanuts.   Add broccoli for $2.",18.95,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",87. Dau Hủ Xào Xả ớt,Tofu stir-fried with hot chilies and lemongrass.,18.95,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",81. Bún Xào Chay,"Stir-fried tofu and vegetables top a bowl of thin rice noodles, garnish with peanuts.",19.95,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",83. Cơm Chiên Chay,"Stir-fried rice with tofu, vegetables, and egg.",18.95,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",F2. Sườn Bò đại Hàn,Chargrilled beef short ribs.,19.25,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",F5. Tôm Hoặc Gà Xào Lăn,"Coconut curry with your choice of shrimp or chicken, stir-fried with onions and mushrooms.   Garnished with peanuts.  Add broccoli for $2.",21.5,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",F7. Bò Xào Xà Lách,"Lemongrass beef (or chicken) on a salad with fresh herbs, bean sprouts and peanuts.",21.5,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",F3. Dau Hủ Xào Thịt Xay,"Ground pork stir-fried with diced tofu, woodear mushrooms, peppers and onions.",21.5,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",F4. Bok Choy Xào Tỏi,"Baby bok choy stir-fried with garlic.   Broccoli may be substituted, by request.",13.25,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",F6. Tôm Hoặc Gà Xào Xả ớt,Shrimp or chicken stir-fried with hot chilies and lemongrass.  Spicy.,21.5,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",L1. Tôm Xào Bông Cải,Shrimp stir-fried with broccoli.,21.5,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",L3. Tôm Xào Thập Cẩm,Shrimp stir-fried with mixed vegetables.,21.5,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",L7. Gà Xào Bông Cải,Chicken stir-fried with broccoli.,21.5,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",L9. Gà Xào Thập Cẩm,Chicken stir-fried with mixed vegetables.,21.5,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",L4. Bò Xào Bông Cải,Beef stir-fried with broccoli.,21.5,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",L6. Bò Xào Thập Cẩm,Beef stir-fried with mixed vegetables.,21.5,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",L2. Tôm Xào đậu Hu,Shrimp stir-fried with tofu.,21.5,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",L10. Rau Xào đậu Hu,Vegetables stir-fried with tofu.,21.5,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",L5. Bò Xào đậu Hu,Beef stir-fried with tofu.,21.5,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",House Rice,,3.0,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",White Rice,,2.0,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",Shrimp,Add shrimp to any entre,5.0,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",Vegetables,Vegetables added to a dish,2.0,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",S2. Sinh Tó Bo,Avocado.    Seasonal.,6.5,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",B3. Nước Ngọt,Soft drinks.,2.25,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",B1. Tra Da,Iced tea.,2.5,Huynh Restaurant,Vietnamese Restaurant,29.7516624,-95.3556435
"Houston, TX",Wagyu Sandwich,"Wagyu beef, gruyere cheese, Katz coffee caramelized onions, jalapeno aioli, crispy onions, served on french roll",19.75,Local Foods,"Sandwiches, Gluten-Free, American (Traditional)",29.7836433,-95.3984864
"Houston, TX",Wagyu Beef Salad,"mixed greens, Katz coffee caramelized onions, gruyere cheese, crispy onions, balsamic vinaigrette",19.75,Local Foods,"Sandwiches, Gluten-Free, American (Traditional)",29.7836433,-95.3984864
"Houston, TX",Beef Stroganoff,"Wagyu Beef, Parmesan,Flying Saucer Cream Sauce, Butternut Squash, Truffle Oil, Pappardelle. Served with Garlic Bread",25.5,Local Foods,"Sandwiches, Gluten-Free, American (Traditional)",29.7836433,-95.3984864
"Houston, TX",Texas Beef Sandwich,"Wagyu beef, gruyere cheese, Katz coffee caramelized onions, jalapeno aioli, crispy onions, served on french roll",19.75,Local Foods,"Sandwiches, Gluten-Free, American (Traditional)",29.7836433,-95.3984864
"Houston, TX",Texas Beef Salad,"mixed greens, Katz coffee caramelized onions, gruyere cheese, crispy onions, balsamic vinaigrette",19.75,Local Foods,"Sandwiches, Gluten-Free, American (Traditional)",29.7836433,-95.3984864
"Houston, TX",KING TUCK,"House-ground beef patty, pepper jack cheese , crispy bacon, jalapeño poppers, fresh jalapeño slices, Fresno aioli, all on a brioche bun",12.99,Rodeo Goat,"Pickup, Burgers, Takeout",29.7500755,-95.3558479
"Houston, TX",Baby Brownie á la Mode,Quarter size version of Sara's Brownie.,2.5,Barnaby's Cafe,"American (New), Breakfast & Brunch, Salad",29.753638,-95.387163
"Houston, TX",Esquites (After 11AM),"mexican street corn with red onion, queso fresco, cilantro and baconAvailable every day after 11am",5.2,Tacodeli,"Vegetarian, Tacos, Lunch, Breakfast, Mexican",29.7681995,-95.3774617
"Houston, TX",Baklava-Havuc Dilimi  ,"Sweet and buttery pastry with pistachios. Imported fresh from Gaziantep, the Turkish baklava capital!!",7.0,Istanbul Grill,"Turkish, Middle Eastern, Mediterranean, Bar and Grill",29.7155837,-95.4146036
"Houston, TX",Baklava-Special,"Sweet and buttery pastry with pistachios. Imported fresh from Gaziantep, the Turkish baklava capital!!",3.5,Istanbul Grill,"Turkish, Middle Eastern, Mediterranean, Bar and Grill",29.7155837,-95.4146036
"Houston, TX",Mac & Cheese Balls ,3 delicious hand-breaded mac & cheese balls.,8.49,Twisted Grilled Cheese,Twisted Grilled Cheese,29.7703302,-95.4179692
"Houston, TX",Vietnamese Egg Roll,,11.95,Kim Son Restaurant,"Chinese, Asian, Buffets, Dim Sum, Vietnamese, Pickup, Takeout",29.7458523,-95.3602462
"Houston, TX",Shrimp & Pork Spring Rolls,,10.5,Kim Son Restaurant,"Chinese, Asian, Buffets, Dim Sum, Vietnamese, Pickup, Takeout",29.7458523,-95.3602462
"Houston, TX",Veggie Egg Roll,,11.95,Kim Son Restaurant,"Chinese, Asian, Buffets, Dim Sum, Vietnamese, Pickup, Takeout",29.7458523,-95.3602462
"Houston, TX",Veggie Spring Roll,,10.5,Kim Son Restaurant,"Chinese, Asian, Buffets, Dim Sum, Vietnamese, Pickup, Takeout",29.7458523,-95.3602462
"Houston, TX",Crab Rangoons,,10.25,Kim Son Restaurant,"Chinese, Asian, Buffets, Dim Sum, Vietnamese, Pickup, Takeout",29.7458523,-95.3602462
"Houston, TX",Kim Son Sampler,,15.75,Kim Son Restaurant,"Chinese, Asian, Buffets, Dim Sum, Vietnamese, Pickup, Takeout",29.7458523,-95.3602462
"Houston, TX",Lunch Ginger Salad,,6.25,Kim Son Restaurant,"Chinese, Asian, Buffets, Dim Sum, Vietnamese, Pickup, Takeout",29.7458523,-95.3602462
"Houston, TX",Lunch Chicken Pho,,11.95,Kim Son Restaurant,"Chinese, Asian, Buffets, Dim Sum, Vietnamese, Pickup, Takeout",29.7458523,-95.3602462
"Houston, TX",Lunch Eye Round Pho,,11.95,Kim Son Restaurant,"Chinese, Asian, Buffets, Dim Sum, Vietnamese, Pickup, Takeout",29.7458523,-95.3602462
"Houston, TX",Lunch Grilled Chicken Salad,,13.95,Kim Son Restaurant,"Chinese, Asian, Buffets, Dim Sum, Vietnamese, Pickup, Takeout",29.7458523,-95.3602462
"Houston, TX",Lunch Grilled Beef Salad,,14.95,Kim Son Restaurant,"Chinese, Asian, Buffets, Dim Sum, Vietnamese, Pickup, Takeout",29.7458523,-95.3602462
"Houston, TX",1/2 Shrimp & Pork Spring Roll,,5.5,Kim Son Restaurant,"Chinese, Asian, Buffets, Dim Sum, Vietnamese, Pickup, Takeout",29.7458523,-95.3602462
"Houston, TX",Grilled Shrimp Salad,,15.95,Kim Son Restaurant,"Chinese, Asian, Buffets, Dim Sum, Vietnamese, Pickup, Takeout",29.7458523,-95.3602462
"Houston, TX",Lunch Saigon Egg Noodle Soup,,13.25,Kim Son Restaurant,"Chinese, Asian, Buffets, Dim Sum, Vietnamese, Pickup, Takeout",29.7458523,-95.3602462
"Houston, TX",Lunch General Tso's Chicken,,11.95,Kim Son Restaurant,"Chinese, Asian, Buffets, Dim Sum, Vietnamese, Pickup, Takeout",29.7458523,-95.3602462
"Houston, TX",Lunch Orange Chicken,,11.95,Kim Son Restaurant,"Chinese, Asian, Buffets, Dim Sum, Vietnamese, Pickup, Takeout",29.7458523,-95.3602462
"Houston, TX",Lunch Sesame Chicken,,11.95,Kim Son Restaurant,"Chinese, Asian, Buffets, Dim Sum, Vietnamese, Pickup, Takeout",29.7458523,-95.3602462
"Houston, TX",Lunch Sweet & Sour Chicken,,11.95,Kim Son Restaurant,"Chinese, Asian, Buffets, Dim Sum, Vietnamese, Pickup, Takeout",29.7458523,-95.3602462
"Houston, TX",Lunch Curry Chicken,,11.95,Kim Son Restaurant,"Chinese, Asian, Buffets, Dim Sum, Vietnamese, Pickup, Takeout",29.7458523,-95.3602462
"Houston, TX",Lunch Chicken Broccoli,,11.95,Kim Son Restaurant,"Chinese, Asian, Buffets, Dim Sum, Vietnamese, Pickup, Takeout",29.7458523,-95.3602462
"Houston, TX",Lunch Chicken Lo-Mein,,12.95,Kim Son Restaurant,"Chinese, Asian, Buffets, Dim Sum, Vietnamese, Pickup, Takeout",29.7458523,-95.3602462
"Houston, TX",Lunch Hunan Chicken,,11.95,Kim Son Restaurant,"Chinese, Asian, Buffets, Dim Sum, Vietnamese, Pickup, Takeout",29.7458523,-95.3602462
"Houston, TX",Lunch Kung Pao Chicken,,11.95,Kim Son Restaurant,"Chinese, Asian, Buffets, Dim Sum, Vietnamese, Pickup, Takeout",29.7458523,-95.3602462
"Houston, TX",Lunch Pepper Chicken,,11.95,Kim Son Restaurant,"Chinese, Asian, Buffets, Dim Sum, Vietnamese, Pickup, Takeout",29.7458523,-95.3602462
"Houston, TX",Lunch Moo Goo Gai Pan,,11.95,Kim Son Restaurant,"Chinese, Asian, Buffets, Dim Sum, Vietnamese, Pickup, Takeout",29.7458523,-95.3602462
"Houston, TX",Lunch Pork Lomein,,12.95,Kim Son Restaurant,"Chinese, Asian, Buffets, Dim Sum, Vietnamese, Pickup, Takeout",29.7458523,-95.3602462
"Houston, TX",Lunch Beef Broccoli,,12.95,Kim Son Restaurant,"Chinese, Asian, Buffets, Dim Sum, Vietnamese, Pickup, Takeout",29.7458523,-95.3602462
"Houston, TX",Lunch Pepper Steak,,12.95,Kim Son Restaurant,"Chinese, Asian, Buffets, Dim Sum, Vietnamese, Pickup, Takeout",29.7458523,-95.3602462
"Houston, TX",Lunch Beef & Straw Mushrooms,,12.95,Kim Son Restaurant,"Chinese, Asian, Buffets, Dim Sum, Vietnamese, Pickup, Takeout",29.7458523,-95.3602462
"Houston, TX",Lunch Hunan Beef,,12.95,Kim Son Restaurant,"Chinese, Asian, Buffets, Dim Sum, Vietnamese, Pickup, Takeout",29.7458523,-95.3602462
"Houston, TX",Lunch Beef & Snow Pea,,12.95,Kim Son Restaurant,"Chinese, Asian, Buffets, Dim Sum, Vietnamese, Pickup, Takeout",29.7458523,-95.3602462
"Houston, TX",Lunch Beef & Vegetables,,12.95,Kim Son Restaurant,"Chinese, Asian, Buffets, Dim Sum, Vietnamese, Pickup, Takeout",29.7458523,-95.3602462
"Houston, TX",Lunch Beef Lomein,,14.5,Kim Son Restaurant,"Chinese, Asian, Buffets, Dim Sum, Vietnamese, Pickup, Takeout",29.7458523,-95.3602462
"Houston, TX",Lunch General Tso's Shrimp,,13.95,Kim Son Restaurant,"Chinese, Asian, Buffets, Dim Sum, Vietnamese, Pickup, Takeout",29.7458523,-95.3602462
"Houston, TX",Lunch Shrimp & Lobster Sauce,,13.95,Kim Son Restaurant,"Chinese, Asian, Buffets, Dim Sum, Vietnamese, Pickup, Takeout",29.7458523,-95.3602462
"Houston, TX",Lunch Shrimp & Vegetables,,13.95,Kim Son Restaurant,"Chinese, Asian, Buffets, Dim Sum, Vietnamese, Pickup, Takeout",29.7458523,-95.3602462
"Houston, TX",Lunch Kung Pao Shrimp,,13.95,Kim Son Restaurant,"Chinese, Asian, Buffets, Dim Sum, Vietnamese, Pickup, Takeout",29.7458523,-95.3602462
"Houston, TX",Lunch Sesame Shrimp,,13.95,Kim Son Restaurant,"Chinese, Asian, Buffets, Dim Sum, Vietnamese, Pickup, Takeout",29.7458523,-95.3602462
"Houston, TX",Lunch Shrimp & Snow Pea,,13.95,Kim Son Restaurant,"Chinese, Asian, Buffets, Dim Sum, Vietnamese, Pickup, Takeout",29.7458523,-95.3602462
"Houston, TX",Lunch Shrimp Lo-Mein,,14.5,Kim Son Restaurant,"Chinese, Asian, Buffets, Dim Sum, Vietnamese, Pickup, Takeout",29.7458523,-95.3602462
"Houston, TX",Lunch Hunan Shrimp,,13.95,Kim Son Restaurant,"Chinese, Asian, Buffets, Dim Sum, Vietnamese, Pickup, Takeout",29.7458523,-95.3602462
"Houston, TX",Lunch Mama La's Deluxe Combo,,17.95,Kim Son Restaurant,"Chinese, Asian, Buffets, Dim Sum, Vietnamese, Pickup, Takeout",29.7458523,-95.3602462
"Houston, TX",Lunch Grill Chicken & Shrimp Combo,,13.95,Kim Son Restaurant,"Chinese, Asian, Buffets, Dim Sum, Vietnamese, Pickup, Takeout",29.7458523,-95.3602462
"Houston, TX",Lunch Grill Chicken & Beef Combo,,12.95,Kim Son Restaurant,"Chinese, Asian, Buffets, Dim Sum, Vietnamese, Pickup, Takeout",29.7458523,-95.3602462
